hastag_H	cluster_C_leader	frequency_H_in_C	frequency_H_overall	count_H_in_C	count_tweets_in_C	count_H_entire_dataset	count_tweets_entire_dataset
Zelenskyy                             870244616003403781   0.09127  0.05505  .60317427894435819919  18    327    29529  48956
UkraineRussia                         870244616003403781   0.10362  0.06250  .60317427894435819919  18    288    29529  48956
Tonga                                 1373739644           0.66316  0.40000  .60317427894435819919  18    45     29529  48956
qanda                                 2574271742           1.65790  1.00000  .60317427894435819919  18    18     29529  48956
PutinWarCriminal                      578601744            0.10891  0.06569  .60317427894435819919  18    274    29529  48956
Palestine                             41186732             0.13031  0.07860  .60317427894435819919  18    229    29529  48956
ONEV1                                 826615125297680384   1.65790  1.00000  .60317427894435819919  18    18     29529  48956
NewYork                               1060440219097423872  0.66316  0.40000  .60317427894435819919  18    45     29529  48956
nature                                1060440219097423872  0.35527  0.21429  .60317427894435819919  18    84     29529  48956
N95                                   578601744            0.09535  0.05751  .60317427894435819919  18    313    29529  48956
Florida                               1060440219097423872  0.15624  0.09424  .60317427894435819919  18    191    29529  48956
docswhorock                           981436419087523840   1.57064  0.94737  .60317427894435819919  18    19     29529  48956
brexit                                711608180535640064   0.50579  0.30508  .60317427894435819919  18    59     29529  48956
BlueVoices                            826615125297680384   1.65790  1.00000  .60317427894435819919  18    18     29529  48956
Berlin                                77726331             0.47368  0.28571  .60317427894435819919  18    63     29529  48956
AusOpen                               302984766            0.60903  0.36735  .60317427894435819919  18    49     29529  48956
VoteThemAllOut2022                    302984766            0.28760  0.17347  .60317427894435819919  17    98     29529  48956
SNL                                   614600545            0.82895  0.50000  .60317427894435819919  17    34     29529  48956
SCOTLAND                              4757894056           1.40921  0.85000  .60317427894435819919  17    20     29529  48956
RU                                    1387010761994682371  0.07417  0.04474  .60317427894435819919  17    380    29529  48956
RipCity                               2530758806           0.74169  0.44737  .60317427894435819919  17    38     29529  48956
PutinWarCrimes                        578601744            0.76174  0.45946  .60317427894435819919  17    37     29529  48956
putin                                 1387010761994682371  0.43361  0.26154  .60317427894435819919  17    65     29529  48956
MarjorieTaylorGreene                  1263391922657337345  0.85406  0.51515  .60317427894435819919  17    33     29529  48956
Luhansk                               1229752606714728454  0.67105  0.40476  .60317427894435819919  17    42     29529  48956
JusticeMatters                        1921951394           1.04386  0.62963  .60317427894435819919  17    27     29529  48956
BidenBoom                             936620120255934466   1.48339  0.89474  .60317427894435819919  17    19     29529  48956
เรือรักโอห์มฟลุ้ค                          177400353            1.65790  1.00000  .60317427894435819919  16    16     29529  48956
WWIII                                 45379403             0.94737  0.57143  .60317427894435819919  16    28     29529  48956
wtpBLUE                               950215424981028864   1.15332  0.69565  .60317427894435819919  16    23     29529  48956
WarDay                                870244616003403781   1.65790  1.00000  .60317427894435819919  16    16     29529  48956
